name,description
Quantitative Aptitude,"Mathematical and numerical ability testing including arithmetic, algebra, geometry, and data interpretation skills essential for competitive exams"
Logical Reasoning,"Analytical and logical thinking problems including puzzles, pattern recognition, sequences, blood relations, and analytical reasoning"
Verbal Ability,"English language proficiency including grammar, vocabulary, reading comprehension, sentence correction, and verbal reasoning"
Data Interpretation,"Analysis and interpretation of data presented in tables, graphs, charts, and other visual formats"
Coding & Programming,"Programming logic, algorithm design, data structures, code output prediction, and debugging problems"
General Aptitude,"Mixed problems covering basic mathematics, reasoning, and analytical skills for general competitive examinations"
Technical Aptitude,"Computer science fundamentals, networking, databases, operating systems, and core technical concepts"
Verbal Reasoning,"Advanced verbal logic including critical reasoning, statement analysis, argument evaluation, and inference"
Non-Verbal Reasoning,"Visual and spatial reasoning including pattern completion, figure series, paper folding, and mirror images"
Analytical Reasoning,"Complex logical analysis, seating arrangements, scheduling problems, and multi-variable reasoning challenges"
