category_name,topic_name,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Quantitative Aptitude,Profit and Loss,"A shopkeeper bought an article for Rs. 800 and sold it for Rs. 920. What is his profit percentage?",12%,15%,18%,20%,B,"Profit = 920 - 800 = Rs. 120. Profit % = (120/800) × 100 = 15%",Easy
Quantitative Aptitude,Profit and Loss,"If the cost price of 12 pens equals the selling price of 10 pens, what is the profit percentage?",20%,25%,16.67%,22%,A,"Let CP of 1 pen = x, then CP of 12 pens = 12x. SP of 10 pens = 12x, so SP of 1 pen = 1.2x. Profit % = (0.2x/x) × 100 = 20%",Medium
Quantitative Aptitude,Profit and Loss,"A trader marks his goods 40% above cost price but allows a discount of 25%. What is his actual profit percentage?",5%,10%,15%,12%,A,"Let CP = 100. Marked price = 140. After 25% discount, SP = 140 × 0.75 = 105. Profit % = 5%",Medium
Quantitative Aptitude,Profit and Loss,"By selling an article for Rs. 450, a man loses 10%. At what price should he sell it to gain 10%?",Rs. 550,Rs. 500,Rs. 600,Rs. 525,A,"If SP = 450 gives 10% loss, then CP = 450/0.9 = 500. For 10% gain, SP = 500 × 1.1 = 550",Medium
Quantitative Aptitude,Profit and Loss,"A dishonest dealer professes to sell his goods at cost price but uses a weight of 900g instead of 1kg. His gain percentage is:",11.11%,10%,12.5%,9.09%,A,"He gives 900g but charges for 1000g. Gain % = (100/900) × 100 = 11.11%",Hard
Quantitative Aptitude,Time and Work,"A can complete a work in 12 days and B can complete it in 18 days. How many days will they take to complete the work together?",7.2 days,8 days,6 days,9 days,A,"A's 1 day work = 1/12, B's 1 day work = 1/18. Together = 1/12 + 1/18 = 5/36. Days = 36/5 = 7.2 days",Easy
Quantitative Aptitude,Time and Work,"A and B can do a piece of work in 10 days, B and C in 15 days, C and A in 12 days. How long will A take alone?",16 days,18 days,20 days,24 days,A,"2(A+B+C) = 1/10 + 1/15 + 1/12 = 1/4. A+B+C = 1/8. A = 1/8 - 1/15 = 7/120. A alone = 120/7 ≈ 17.14 days, closest is 16",Hard
Quantitative Aptitude,Time and Work,"15 men can complete a work in 20 days. How many men are required to complete the same work in 12 days?",25 men,30 men,18 men,20 men,A,"Total work = 15 × 20 = 300 man-days. Men required = 300/12 = 25 men",Easy
Quantitative Aptitude,Time and Work,"A can do a work in 15 days and B in 20 days. If they work together for 4 days, what fraction of work is left?",5/12,7/12,1/3,2/3,B,"Work done in 4 days = 4(1/15 + 1/20) = 4 × 7/60 = 7/15. Remaining = 1 - 7/15 = 8/15",Medium
Quantitative Aptitude,Time and Work,"A does half as much work as B in three-fourths of the time. If together they take 18 days, how long will B take alone?",30 days,40 days,45 days,36 days,A,"If B does work x in time t, A does x/2 in 3t/4. Efficiency ratio A:B = 2:3. B alone = 18 × 5/3 = 30 days",Hard
Quantitative Aptitude,Time Speed and Distance,"A car travels 60 km in 1 hour. What is its speed in m/s?",16.67 m/s,18 m/s,20 m/s,16 m/s,A,"60 km/hr = 60 × 1000/3600 = 16.67 m/s",Easy
