category_name,name,description
Quantitative Aptitude,Profit and Loss,"Problems involving cost price, selling price, profit percentage, loss percentage, and discount calculations"
Quantitative Aptitude,Time and Work,"Work efficiency, man-days, work completion time, and collaborative work problems"
Quantitative Aptitude,Time Speed and Distance,"Motion problems, relative speed, average speed, trains, boats, and streams"
Quantitative Aptitude,Percentage,"Percentage calculations, percentage increase/decrease, and application problems"
Quantitative Aptitude,Simple Interest,"Interest calculations based on principal, rate, and time using simple interest formula"
Quantitative Aptitude,Compound Interest,"Compound interest calculations, growth problems, and population increase scenarios"
Quantitative Aptitude,Ratio and Proportion,"Ratio comparison, proportion problems, direct and inverse proportions"
Quantitative Aptitude,Mixture and Alligation,"Mixing substances, average price problems, and replacement scenarios"
Quantitative Aptitude,Pipes and Cisterns,"Tank filling and emptying problems with multiple pipes"
Quantitative Aptitude,Averages,"Mean, weighted average, and average-based word problems"
Quantitative Aptitude,Ages,"Age-related problems involving past, present, and future ages"
Quantitative Aptitude,Number Series,"Identifying patterns in number sequences and finding missing numbers"
Quantitative Aptitude,Simplification,"BODMAS rules, fraction simplification, and arithmetic calculations"
Quantitative Aptitude,Square Root and Cube Root,"Finding square roots, cube roots, and their applications"
Quantitative Aptitude,LCM and HCF,"Least common multiple and highest common factor problems"
Quantitative Aptitude,Probability,"Chance and probability calculations for events and outcomes"
Quantitative Aptitude,Permutation and Combination,"Arrangements, selections, and counting principles"
Quantitative Aptitude,Geometry,"Triangles, circles, polygons, area, perimeter, and geometric properties"
Quantitative Aptitude,Mensuration,"Volume, surface area, and measurements of 3D shapes"
Quantitative Aptitude,Trigonometry,"Trigonometric ratios, identities, and height-distance problems"
Quantitative Aptitude,Algebra,"Linear equations, quadratic equations, and algebraic expressions"
Quantitative Aptitude,Logarithms,"Logarithmic calculations and exponential equations"
Quantitative Aptitude,Surds and Indices,"Simplification of surds and exponential expressions"
Quantitative Aptitude,Coordinate Geometry,"Points, lines, slopes, and distance in coordinate plane"
Logical Reasoning,Series Completion,"Number series, letter series, and alpha-numeric series patterns"
Logical Reasoning,Analogies,"Finding relationships between pairs and selecting similar pairs"
Logical Reasoning,Classification,"Odd one out problems identifying dissimilar items in a group"
Logical Reasoning,Coding-Decoding,"Pattern-based coding and decoding of words and numbers"
Logical Reasoning,Blood Relations,"Family relationship problems and generation-based questions"
Logical Reasoning,Direction Sense,"Navigation and direction-based distance calculations"
Logical Reasoning,Seating Arrangement,"Linear and circular seating arrangement puzzles"
Logical Reasoning,Ranking and Order,"Position-based problems in queues, rows, and sequences"
Logical Reasoning,Puzzles,"Logic puzzles requiring deductive reasoning and constraint satisfaction"
Logical Reasoning,Syllogism,"Logical deductions from given premises using Venn diagrams"
Logical Reasoning,Statement and Assumption,"Identifying implicit assumptions in statements"
Logical Reasoning,Statement and Conclusion,"Drawing valid conclusions from given statements"
Logical Reasoning,Course of Action,"Determining appropriate actions based on problem statements"
Logical Reasoning,Cause and Effect,"Identifying causal relationships between events"
Logical Reasoning,Assertion and Reason,"Evaluating the validity of assertions and their reasoning"
Logical Reasoning,Critical Reasoning,"Analyzing arguments, strengthening/weakening conclusions"
Logical Reasoning,Input-Output,"Tracing outputs through multi-step transformations"
Logical Reasoning,Clocks and Calendars,"Time calculations, calendar dates, and clock angles"
Logical Reasoning,Data Sufficiency,"Determining if given data is sufficient to answer questions"
Verbal Ability,Synonyms,"Words with similar meanings and contextual usage"
