problem_number,title,difficulty,description,constraints,example_input,example_output,example_explanation,hints,time_complexity,space_complexity,topics,companies,is_active
1,Two Sum,easy,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order.","• 2 <= nums.length <= 10^4
• -10^9 <= nums[i] <= 10^9
• -10^9 <= target <= 10^9
• Only one valid answer exists","nums = [2,7,11,15]
target = 9","[0,1]","Because nums[0] + nums[1] == 9, we return [0, 1].","• Try using a hash map to store values you've seen
• For each number, check if target - number exists in the hash map
• The time complexity should be O(n)",O(n),O(n),"Array,Hash Table","Google,Amazon,Apple,Facebook,Microsoft,Adobe,Uber,Airbnb",true
2,Add Two Numbers,medium,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself.","• The number of nodes in each linked list is in the range [1, 100]
• 0 <= Node.val <= 9
• It is guaranteed that the list represents a number that does not have leading zeros","l1 = [2,4,3]
l2 = [5,6,4]","[7,0,8]","The number 342 + 465 = 807, represented in reverse order as [7,0,8].","• Handle the carry carefully
• Don't forget to add a new node if there's a carry at the end
• Process both lists simultaneously",O(max(m,n)),O(max(m,n)),"Linked List,Math,Recursion","Amazon,Microsoft,Facebook,Apple,Google,Bloomberg",true
3,Longest Substring Without Repeating Characters,medium,"Given a string s, find the length of the longest substring without repeating characters.","• 0 <= s.length <= 5 * 10^4
• s consists of English letters, digits, symbols and spaces","s = ""abcabcbb""","3","The answer is ""abc"", with the length of 3.","• Use sliding window technique
• Use a hash set to track characters in current window
• Move the left pointer when you encounter a duplicate",O(n),O(min(m,n)),"Hash Table,String,Sliding Window","Amazon,Google,Facebook,Microsoft,Adobe,Bloomberg",true
4,Median of Two Sorted Arrays,hard,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)).","• nums1.length == m
• nums2.length == n
• 0 <= m <= 1000
• 0 <= n <= 1000
• 1 <= m + n <= 2000
• -10^6 <= nums1[i], nums2[i] <= 10^6","nums1 = [1,3]
nums2 = [2]","2.0","The merged array is [1,2,3] and median is 2.","• Use binary search on the smaller array
• Partition both arrays such that left half elements <= right half
• The median is found at the partition point",O(log(min(m,n))),O(1),"Array,Binary Search,Divide and Conquer","Google,Amazon,Microsoft,Apple,Adobe",true
5,Longest Palindromic Substring,medium,"Given a string s, return the longest palindromic substring in s.","• 1 <= s.length <= 1000
• s consist of only digits and English letters","s = ""babad""","bab","Note: ""aba"" is also a valid answer.","• Expand around center approach
• For each position, try to expand palindrome
• Consider both odd and even length palindromes",O(n²),O(1),"String,Dynamic Programming","Amazon,Microsoft,Google,Adobe,Apple",true
6,Zigzag Conversion,medium,"The string PAYPALISHIRING is written in a zigzag pattern on a given number of rows, then read line by line. Write the code that will take a string and make this conversion given a number of rows.","• 1 <= s.length <= 1000
• s consists of English letters (lower-case and upper-case), ',' and '.'
• 1 <= numRows <= 1000","s = ""PAYPALISHIRING""
numRows = 3","PAHNAPLSIIGYIR","Read line by line: PAH NAP LSI IIG YIR","• Create an array of strings for each row
• Iterate through the string and determine which row to add each character
• Use a direction flag to go up and down",O(n),O(n),"String","Amazon,Microsoft,PayPal",true
7,Reverse Integer,medium,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-2^31, 2^31 - 1], then return 0.","• -2^31 <= x <= 2^31 - 1","x = 123","321","Reverse of 123 is 321.","• Handle negative numbers carefully
• Check for overflow before multiplying by 10
• Use modulo to get last digit",O(log(x)),O(1),"Math","Amazon,Apple,Bloomberg,Facebook",true
8,String to Integer (atoi),medium,"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function). The algorithm: Read in and ignore leading whitespace, check for sign, read in digits until non-digit or end of input, convert to integer and clamp to 32-bit range.","• 0 <= s.length <= 200
• s consists of English letters (lower-case and upper-case), digits (0-9), ' ', '+', '-', and '.'","s = ""42""","42","The first non-whitespace character is '4', followed by '2'. So the result is 42.","• Handle whitespace, signs, and non-digit characters carefully
• Check for overflow at each step
• Stop reading when you encounter a non-digit",O(n),O(1),"String","Amazon,Microsoft,Bloomberg,Facebook,Uber",true
9,Palindrome Number,easy,"Given an integer x, return true if x is a palindrome, and false otherwise.","• -2^31 <= x <= 2^31 - 1","x = 121","true","121 reads the same backward as forward.","• Negative numbers are not palindromes
• Reverse the second half and compare with first half
• No need to convert to string",O(log(x)),O(1),"Math","Amazon,Microsoft,Apple,PayPal",true
10,Regular Expression Matching,hard,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: '.' Matches any single character, '*' Matches zero or more of the preceding element.","• 1 <= s.length <= 20
• 1 <= p.length <= 30
• s contains only lowercase English letters
• p contains only lowercase English letters, '.', and '*'","s = ""aa""
p = ""a*""","true","'*' means zero or more of the preceding element 'a'. Therefore, by repeating 'a' once, it becomes ""aa"".","• Use dynamic programming
• dp[i][j] represents if s[0..i) matches p[0..j)
• Handle '*' by considering zero or more occurrences",O(m*n),O(m*n),"String,Dynamic Programming,Recursion","Google,Facebook,Amazon,Microsoft,Uber",true
